x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.1,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.354797312626351e-17,1.354797312626351e-17
0.1,1,0.000000000000000e+00,0.000000000000000e+00,5.516985371805642e-01,5.516985371805642e+00,6.018999741555270e-17,5.516985371805641e+00
0.1,2,1.165517335421917e-17,2.403128526643128e-17,8.275478057708462e-02,1.706284135609992e-01,5.705771040659975e-17,1.706284135609994e-01
0.1,3,1.568027391957161e-17,1.063069418276041e-16,3.540065613575287e-01,2.400044483779855e+00,3.440851977837903e-17,2.400044483779855e+00
0.1,4,5.854691731421724e-18,1.732477671587712e-17,1.240172336703810e-01,3.669827517525609e-01,4.947298049877244e-17,3.669827517525609e-01
0.1,5,4.336808689942018e-19,2.425118270939107e-18,2.608821470253544e-01,1.458837838017401e+00,3.304849583333540e-17,1.458837838017401e+00
0.1,6,1.034057822008050e-17,4.155691351709417e-17,1.511760883466324e-01,6.075493551292614e-01,3.020168032491149e-17,6.075493551292612e-01
0.1,7,3.469446951953614e-18,1.739132666417237e-17,1.955377096145006e-01,9.801735637303740e-01,1.254796248671809e-16,9.801735637303740e-01
0.1,8,1.630369016875077e-17,9.041495638738062e-17,1.689423978560223e-01,9.368995225025281e-01,1.260701851135298e-16,9.368995225025280e-01
0.1,9,7.128629284092192e-18,3.372301815838825e-17,1.418999556178629e-01,6.712783887716319e-01,1.147074181159189e-16,6.712783887716319e-01
0.1,10,3.272935308190617e-17,2.679988027198176e-16,1.790091496378139e-01,1.465786312939638e+00,2.798521214381550e-16,1.465786312939638e+00
0.1,11,4.391018798566293e-18,2.037734204249269e-17,9.482548563083818e-02,4.400553592883673e-01,2.882273764346508e-18,4.400553592883674e-01
0.1,12,3.456572051155349e-17,4.892768061003288e-16,1.822666052472402e-01,2.579978694334213e+00,4.958169062243605e-16,2.579978694334213e+00
0.1,13,2.520770051028798e-18,1.186270213920330e-17,5.247994726553520e-02,2.469697632428070e-01,2.784669804148686e-18,2.469697632428070e-01
0.1,14,3.576003696718205e-17,1.452531699237233e-15,1.793686947022191e-01,7.285750715103625e+00,1.370850896557153e-15,7.285750715103626e+00
0.1,15,1.610040226140974e-17,7.927766014644635e-17,1.430333647207051e-02,7.042898862911949e-02,7.460758452720090e-17,7.042898862911937e-02
0.1,16,3.606666289408811e-17,2.217026597488400e-15,1.709294227247941e-01,1.050707345969409e+01,2.297179612399687e-15,1.050707345969409e+01
0.1,17,5.326143172335041e-18,2.833289127116110e-17,1.971845361404074e-02,1.048940639042412e-01,7.447431475876287e-17,1.048940639042412e-01
0.1,18,3.287504274883390e-17,6.332256789625059e-16,1.575991999262420e-01,3.035611577441435e+00,6.063164646031923e-16,3.035611577441436e+00
0.1,19,7.196391919872536e-18,4.284065744316304e-17,4.937101077788570e-02,2.939093067620996e-01,2.866873746761611e-17,2.939093067620996e-01
0.1,20,2.713893563002778e-17,3.306516116940025e-16,1.400918928282422e-01,1.706832234705232e+00,3.842116354002926e-16,1.706832234705232e+00
0.1,21,5.814034149953518e-18,4.038736006129511e-17,7.437128457873845e-02,5.166223264317372e-01,2.819477563752259e-17,5.166223264317372e-01
0.1,22,2.812827011242081e-17,2.641564889334820e-16,1.191878738956596e-01,1.119309867471065e+00,3.747557703204695e-16,1.119309867471065e+00
0.1,23,2.968003447179068e-18,2.539705368358100e-17,9.445711709837889e-02,8.082647195116587e-01,4.197524746349651e-19,8.082647195116588e-01
